Node,Packet,Direction,Protocol,Port,Time,Size,Offset,src IP,dest IP
14,53,TX,UDP,520,2.20516,212,0,192.166.1.85,192.166.1.86
11,96,RX,UDP,520,2.20529,132,0,192.166.1.81,192.166.1.82
11,96,TX,UDP,520,2.20529,132,0,192.166.1.81,192.166.1.82
14,113,RX,UDP,520,2.20547,192,0,192.166.1.21,192.166.1.22
14,113,TX,UDP,520,2.20547,192,0,192.166.1.21,192.166.1.22
11,95,RX,UDP,520,2.20557,172,0,192.166.1.103,192.166.1.104
11,95,TX,UDP,520,2.20557,172,0,192.166.1.103,192.166.1.104
14,115,RX,UDP,520,2.20575,172,0,192.166.1.86,192.166.1.85
14,115,TX,UDP,520,2.20575,172,0,192.166.1.86,192.166.1.85
11,162,RX,UDP,520,2.20591,152,0,192.166.1.29,192.166.1.30
11,162,TX,UDP,520,2.20591,152,0,192.166.1.29,192.166.1.30
14,127,RX,UDP,520,2.20599,152,0,192.166.1.35,192.166.1.36
14,127,TX,UDP,520,2.20599,152,0,192.166.1.35,192.166.1.36
11,102,RX,UDP,520,2.20619,172,0,192.166.1.95,192.166.1.96
11,102,TX,UDP,520,2.20619,172,0,192.166.1.95,192.166.1.96
14,131,RX,UDP,520,2.20627,172,0,192.166.1.43,192.166.1.44
14,131,TX,UDP,520,2.20627,172,0,192.166.1.43,192.166.1.44
11,161,RX,UDP,520,2.2065,192,0,192.166.1.17,192.166.1.18
11,161,TX,UDP,520,2.2065,192,0,192.166.1.17,192.166.1.18
13,11,RX,UDP,520,2.20658,232,0,192.166.1.94,192.166.1.93
13,11,TX,UDP,520,2.20658,232,0,192.166.1.94,192.166.1.93
12,59,RX,UDP,520,2.20666,232,0,192.166.1.73,192.166.1.74
12,59,TX,UDP,520,2.20666,232,0,192.166.1.73,192.166.1.74
11,164,RX,UDP,520,2.20671,132,0,192.166.1.52,192.166.1.51
11,164,TX,UDP,520,2.20671,132,0,192.166.1.52,192.166.1.51
14,153,RX,UDP,520,2.20677,312,0,192.166.1.28,192.166.1.27
14,153,TX,UDP,520,2.20677,312,0,192.166.1.28,192.166.1.27
11,165,RX,UDP,520,2.20699,172,0,192.166.1.58,192.166.1.57
11,165,TX,UDP,520,2.20699,172,0,192.166.1.58,192.166.1.57
14,112,RX,UDP,520,2.20724,292,0,192.166.1.88,192.166.1.87
14,112,TX,UDP,520,2.20724,292,0,192.166.1.88,192.166.1.87
11,151,RX,UDP,520,2.20733,212,0,192.166.1.22,192.166.1.21
11,151,TX,UDP,520,2.20733,212,0,192.166.1.22,192.166.1.21
11,45,RX,UDP,520,2.20761,172,0,192.166.1.80,192.166.1.79
11,45,TX,UDP,520,2.20761,172,0,192.166.1.80,192.166.1.79
14,43,RX,UDP,520,2.20762,232,0,192.166.1.84,192.166.1.83
14,43,TX,UDP,520,2.20762,232,0,192.166.1.84,192.166.1.83
14,150,RX,UDP,520,2.20799,172,0,192.166.1.16,192.166.1.15
14,150,TX,UDP,520,2.20799,172,0,192.166.1.16,192.166.1.15
11,149,RX,UDP,520,2.20808,292,0,192.166.1.26,192.166.1.25
11,149,TX,UDP,520,2.20808,292,0,192.166.1.26,192.166.1.25
13,61,RX,UDP,520,2.2083,212,0,192.166.1.91,192.166.1.92
13,61,TX,UDP,520,2.2083,212,0,192.166.1.91,192.166.1.92
14,155,RX,UDP,520,2.20833,152,0,192.166.1.14,192.166.1.13
14,155,TX,UDP,520,2.20833,152,0,192.166.1.14,192.166.1.13
11,99,RX,UDP,520,2.20836,172,0,192.166.1.9,192.166.1.10
11,99,TX,UDP,520,2.20836,172,0,192.166.1.9,192.166.1.10
14,96,RX,UDP,520,2.20864,132,0,192.166.1.81,192.166.1.82
14,96,TX,UDP,520,2.20864,132,0,192.166.1.81,192.166.1.82
12,132,RX,UDP,520,2.20869,252,0,192.166.1.57,192.166.1.58
12,132,TX,UDP,520,2.20869,252,0,192.166.1.57,192.166.1.58
11,160,RX,UDP,520,2.2087,212,0,192.166.1.54,192.166.1.53
11,160,TX,UDP,520,2.2087,212,0,192.166.1.54,192.166.1.53
14,95,RX,UDP,520,2.20891,172,0,192.166.1.103,192.166.1.104
14,95,TX,UDP,520,2.20891,172,0,192.166.1.103,192.166.1.104
11,49,RX,UDP,520,2.20908,232,0,192.166.1.108,192.166.1.107
11,49,TX,UDP,520,2.20908,232,0,192.166.1.108,192.166.1.107
14,162,RX,UDP,520,2.20925,152,0,192.166.1.29,192.166.1.30
14,162,TX,UDP,520,2.20925,152,0,192.166.1.29,192.166.1.30
14,102,RX,UDP,520,2.20953,172,0,192.166.1.95,192.166.1.96
14,102,TX,UDP,520,2.20953,172,0,192.166.1.95,192.166.1.96
11,97,RX,UDP,520,2.20955,292,0,192.166.1.109,192.166.1.110
11,97,TX,UDP,520,2.20955,292,0,192.166.1.109,192.166.1.110
14,161,RX,UDP,520,2.20984,192,0,192.166.1.17,192.166.1.18
14,161,TX,UDP,520,2.20984,192,0,192.166.1.17,192.166.1.18
11,166,RX,UDP,520,2.21002,292,0,192.166.1.60,192.166.1.59
11,166,TX,UDP,520,2.21002,292,0,192.166.1.60,192.166.1.59
14,164,RX,UDP,520,2.21006,132,0,192.166.1.52,192.166.1.51
14,164,TX,UDP,520,2.21006,132,0,192.166.1.52,192.166.1.51
14,165,RX,UDP,520,2.21033,172,0,192.166.1.58,192.166.1.57
14,165,TX,UDP,520,2.21033,172,0,192.166.1.58,192.166.1.57
